Location,Time,Activity,Item_Type,History_Of_Loss,Risk_Level
Fort Railway Station,8,walking,sunglasses,FALSE,High
Jaffna,4,driving,sunglasses,FALSE,Unknown
Fort Railway Station,5,stationary,ID card,TRUE,Unknown
Colombo,19,walking,sunglasses,TRUE,Unknown
Gangaramaya Temple,6,driving,ID card,FALSE,Unknown
Katunayake Airport,23,driving,sunglasses,TRUE,Unknown
Temple of the Tooth,2,stationary,water bottle,FALSE,Unknown
Colombo,4,driving,backpack,TRUE,Unknown
Gangaramaya Temple,23,stationary,wallet,FALSE,Unknown
Kandy,18,stationary,sunglasses,TRUE,Unknown
Liberty Plaza,9,walking,ID card,FALSE,Moderate
Colombo,10,walking,sunglasses,FALSE,Unknown
Viharamahadevi Park,23,walking,keys,TRUE,Unknown
Gangaramaya Temple,15,driving,wallet,FALSE,Unknown
Majestic City,2,stationary,wallet,FALSE,Unknown
Katunayake Airport,21,driving,ID card,TRUE,Unknown
Gangaramaya Temple,4,stationary,backpack,TRUE,Moderate
Galle,6,driving,sunglasses,TRUE,Unknown
Galle Face,2,stationary,mobile phone,FALSE,Unknown
Fort Railway Station,17,stationary,water bottle,TRUE,Unknown
Kandy,16,walking,keys,TRUE,Unknown
Temple of the Tooth,7,walking,water bottle,TRUE,Moderate
Kandy,12,walking,mobile phone,FALSE,Unknown
Katunayake Airport,19,driving,sunglasses,FALSE,Unknown
Kandy,10,walking,wallet,TRUE,Unknown
Fort Railway Station,1,driving,keys,TRUE,Unknown
Fort Railway Station,3,stationary,water bottle,TRUE,Unknown
Pettah Bus Stand,20,driving,backpack,TRUE,Unknown
Liberty Plaza,2,walking,sunglasses,TRUE,Unknown
Kandy,10,stationary,water bottle,TRUE,Unknown
Gangaramaya Temple,0,walking,water bottle,FALSE,Unknown
Gangaramaya Temple,10,driving,keys,TRUE,Moderate
Fort Railway Station,6,driving,keys,TRUE,Unknown
Galle Face,16,walking,water bottle,FALSE,High
Katunayake Airport,16,walking,wallet,FALSE,High
Majestic City,20,stationary,mobile phone,FALSE,Unknown
Pettah Bus Stand,20,driving,wallet,FALSE,Unknown
Fort Railway Station,23,driving,wallet,TRUE,Unknown
Temple of the Tooth,0,driving,sunglasses,FALSE,Unknown
Majestic City,19,driving,mobile phone,TRUE,Unknown
Viharamahadevi Park,8,walking,backpack,FALSE,Moderate
Viharamahadevi Park,0,stationary,backpack,FALSE,Low
Fort Railway Station,4,stationary,keys,FALSE,Unknown
Galle Face,14,walking,keys,FALSE,High
Galle Face,23,driving,backpack,TRUE,Unknown
Pettah Bus Stand,18,driving,water bottle,FALSE,High
Liberty Plaza,1,walking,keys,FALSE,Unknown
Gangaramaya Temple,16,stationary,keys,FALSE,Unknown
Pettah Bus Stand,1,stationary,ID card,FALSE,Unknown
Galle Face,17,stationary,ID card,FALSE,Unknown
Fort Railway Station,10,walking,wallet,TRUE,Unknown
Viharamahadevi Park,22,stationary,backpack,TRUE,Low
Katunayake Airport,1,stationary,backpack,TRUE,Low
Fort Railway Station,23,stationary,water bottle,FALSE,Unknown
Gangaramaya Temple,10,driving,backpack,TRUE,Moderate
Liberty Plaza,16,driving,sunglasses,TRUE,Moderate
Galle Face,5,walking,ID card,TRUE,High
Colombo,2,walking,ID card,TRUE,Unknown
Galle,4,stationary,ID card,TRUE,Unknown
Gangaramaya Temple,13,walking,ID card,FALSE,Unknown
Galle Face,6,driving,mobile phone,TRUE,Unknown
Kandy,4,walking,mobile phone,FALSE,Unknown
Katunayake Airport,20,stationary,mobile phone,TRUE,Unknown
Colombo,7,driving,ID card,FALSE,Unknown
Gangaramaya Temple,18,stationary,mobile phone,FALSE,Unknown
Majestic City,6,walking,mobile phone,FALSE,Unknown
Pettah Bus Stand,21,walking,water bottle,TRUE,Unknown
Colombo,20,driving,ID card,FALSE,Unknown
Temple of the Tooth,6,stationary,keys,FALSE,Unknown
Katunayake Airport,23,stationary,mobile phone,FALSE,Unknown
Katunayake Airport,10,driving,keys,TRUE,Unknown
Viharamahadevi Park,20,driving,wallet,FALSE,Moderate
Gangaramaya Temple,20,driving,keys,TRUE,Moderate
Katunayake Airport,0,walking,backpack,FALSE,High
Kandy,14,walking,wallet,TRUE,Unknown
Katunayake Airport,5,stationary,ID card,TRUE,Unknown
Pettah Bus Stand,15,walking,sunglasses,FALSE,Unknown
Temple of the Tooth,10,driving,keys,TRUE,Moderate
Pettah Bus Stand,10,walking,wallet,FALSE,Unknown
Galle Face,15,driving,sunglasses,FALSE,Unknown
Jaffna,21,driving,keys,FALSE,Unknown
Liberty Plaza,2,stationary,wallet,FALSE,Unknown
Galle Face,21,stationary,ID card,FALSE,Unknown
Temple of the Tooth,19,stationary,wallet,TRUE,Moderate
Fort Railway Station,11,stationary,wallet,TRUE,Unknown
Pettah Bus Stand,12,stationary,mobile phone,TRUE,Unknown
Majestic City,11,walking,sunglasses,TRUE,Unknown
Katunayake Airport,13,walking,wallet,FALSE,High
Liberty Plaza,18,walking,wallet,TRUE,Moderate
Fort Railway Station,12,walking,keys,FALSE,Unknown
Katunayake Airport,1,walking,keys,TRUE,High
Majestic City,12,stationary,mobile phone,TRUE,Unknown
Majestic City,2,walking,keys,TRUE,Unknown
Colombo,14,walking,water bottle,TRUE,Unknown
Viharamahadevi Park,9,driving,mobile phone,TRUE,Moderate
Kandy,3,driving,water bottle,TRUE,Unknown
Gangaramaya Temple,20,stationary,sunglasses,TRUE,Moderate
Liberty Plaza,3,walking,sunglasses,FALSE,Unknown
Pettah Bus Stand,12,driving,ID card,FALSE,Unknown
Viharamahadevi Park,12,driving,mobile phone,TRUE,Moderate
Katunayake Airport,3,walking,backpack,FALSE,High
Katunayake Airport,16,walking,backpack,FALSE,High
Jaffna,17,driving,sunglasses,FALSE,Unknown
Katunayake Airport,18,walking,sunglasses,TRUE,High
Liberty Plaza,15,driving,water bottle,FALSE,Moderate
Viharamahadevi Park,21,driving,water bottle,FALSE,Unknown
Katunayake Airport,16,walking,backpack,FALSE,High
Katunayake Airport,19,walking,mobile phone,FALSE,High
Liberty Plaza,3,stationary,ID card,TRUE,Unknown
Jaffna,1,driving,sunglasses,TRUE,Unknown
Viharamahadevi Park,2,walking,wallet,FALSE,Unknown
Temple of the Tooth,16,walking,sunglasses,TRUE,Moderate
Viharamahadevi Park,14,driving,backpack,FALSE,Moderate
Fort Railway Station,9,stationary,sunglasses,TRUE,Unknown
Katunayake Airport,9,walking,wallet,TRUE,High
Katunayake Airport,1,driving,keys,FALSE,Unknown
Majestic City,20,walking,backpack,FALSE,Unknown
Fort Railway Station,20,stationary,keys,FALSE,Unknown
Jaffna,19,walking,mobile phone,FALSE,Unknown
Jaffna,15,stationary,wallet,FALSE,Unknown
Temple of the Tooth,17,walking,backpack,FALSE,Unknown
Temple of the Tooth,19,stationary,water bottle,FALSE,Unknown
Majestic City,0,walking,backpack,FALSE,Unknown
Kandy,8,walking,keys,TRUE,Unknown
Colombo,5,driving,ID card,TRUE,Unknown
Galle Face,3,walking,wallet,FALSE,High
Fort Railway Station,12,driving,sunglasses,TRUE,Unknown
Liberty Plaza,11,stationary,backpack,FALSE,Moderate
Viharamahadevi Park,5,driving,sunglasses,FALSE,Unknown
Gangaramaya Temple,0,walking,sunglasses,TRUE,Moderate
Galle,16,walking,sunglasses,TRUE,Unknown
Galle,11,walking,wallet,TRUE,Unknown
Majestic City,10,walking,sunglasses,TRUE,Unknown
Galle,14,walking,wallet,FALSE,Unknown
Katunayake Airport,20,stationary,sunglasses,FALSE,Unknown
Temple of the Tooth,4,driving,sunglasses,FALSE,Unknown
Gangaramaya Temple,0,driving,ID card,TRUE,Moderate
Colombo,16,stationary,wallet,FALSE,Unknown
Fort Railway Station,7,walking,keys,TRUE,Unknown
Colombo,3,walking,water bottle,TRUE,Unknown
Colombo,6,driving,keys,FALSE,Unknown
Galle,8,stationary,water bottle,TRUE,Unknown
Viharamahadevi Park,14,stationary,ID card,TRUE,Moderate
Katunayake Airport,13,driving,backpack,TRUE,Unknown
Fort Railway Station,16,stationary,backpack,TRUE,Low
Galle,3,driving,sunglasses,FALSE,Unknown
Gangaramaya Temple,15,walking,backpack,FALSE,Unknown
Kandy,20,walking,backpack,TRUE,Unknown
Colombo,12,walking,water bottle,TRUE,Unknown
Galle,16,stationary,mobile phone,TRUE,Unknown
Kandy,12,walking,mobile phone,FALSE,Unknown
Temple of the Tooth,22,driving,keys,TRUE,Moderate
Colombo,1,walking,sunglasses,TRUE,Unknown
Gangaramaya Temple,13,driving,keys,FALSE,Unknown
Liberty Plaza,11,walking,mobile phone,TRUE,Moderate
Galle Face,22,driving,sunglasses,TRUE,Unknown
Katunayake Airport,13,walking,wallet,FALSE,High
Temple of the Tooth,14,stationary,backpack,TRUE,Moderate
Pettah Bus Stand,2,driving,mobile phone,FALSE,Unknown
Fort Railway Station,1,stationary,backpack,TRUE,Low
Katunayake Airport,12,driving,sunglasses,TRUE,Unknown
Galle Face,20,stationary,ID card,FALSE,Unknown
Liberty Plaza,22,stationary,water bottle,FALSE,Unknown
Jaffna,11,driving,backpack,TRUE,Unknown
Fort Railway Station,15,stationary,wallet,FALSE,Unknown
Galle Face,18,driving,wallet,TRUE,Unknown
Temple of the Tooth,11,stationary,wallet,FALSE,Unknown
Temple of the Tooth,20,driving,sunglasses,TRUE,Moderate
Colombo,19,walking,sunglasses,TRUE,Unknown
Liberty Plaza,9,stationary,water bottle,FALSE,Moderate
Temple of the Tooth,16,walking,water bottle,FALSE,Unknown
Galle,15,stationary,backpack,TRUE,Low
Galle Face,7,stationary,backpack,TRUE,Low
Galle,14,stationary,keys,FALSE,Unknown
Kandy,8,walking,mobile phone,FALSE,Unknown
Jaffna,19,walking,ID card,FALSE,Unknown
Gangaramaya Temple,11,walking,backpack,TRUE,Moderate
Liberty Plaza,13,stationary,wallet,FALSE,Moderate
Katunayake Airport,16,walking,keys,FALSE,High
Jaffna,13,stationary,sunglasses,FALSE,Unknown
Pettah Bus Stand,15,driving,water bottle,TRUE,Unknown
Katunayake Airport,13,stationary,water bottle,FALSE,Unknown
Kandy,22,stationary,ID card,FALSE,Unknown
Temple of the Tooth,18,walking,water bottle,TRUE,Moderate
Jaffna,11,walking,keys,TRUE,Unknown
Gangaramaya Temple,0,stationary,ID card,TRUE,Moderate
Jaffna,3,stationary,mobile phone,TRUE,Unknown
Temple of the Tooth,13,walking,keys,FALSE,Unknown
Kandy,23,walking,sunglasses,TRUE,Unknown
Viharamahadevi Park,5,stationary,ID card,TRUE,Unknown
Kandy,19,walking,sunglasses,FALSE,Unknown
Jaffna,18,driving,water bottle,TRUE,Unknown
Majestic City,2,stationary,water bottle,FALSE,Unknown
Colombo,17,stationary,backpack,TRUE,Low
Majestic City,10,walking,backpack,TRUE,Unknown
Temple of the Tooth,4,walking,mobile phone,FALSE,Unknown
Viharamahadevi Park,15,walking,ID card,FALSE,Moderate
Katunayake Airport,21,walking,ID card,FALSE,High
Galle,22,driving,ID card,FALSE,Unknown
Pettah Bus Stand,18,stationary,sunglasses,FALSE,High
Katunayake Airport,7,driving,keys,FALSE,Unknown
Pettah Bus Stand,1,stationary,keys,FALSE,Unknown
Katunayake Airport,1,stationary,backpack,FALSE,Low
Pettah Bus Stand,6,walking,water bottle,FALSE,Unknown
Galle Face,18,driving,sunglasses,FALSE,Unknown
Pettah Bus Stand,1,walking,sunglasses,TRUE,Unknown
Galle,15,stationary,mobile phone,FALSE,Unknown
Kandy,15,driving,water bottle,FALSE,Unknown
Katunayake Airport,21,driving,water bottle,FALSE,Unknown
Galle,19,walking,backpack,FALSE,Unknown
Majestic City,4,stationary,water bottle,TRUE,Unknown
Galle,2,driving,keys,TRUE,Unknown
Liberty Plaza,16,walking,wallet,TRUE,Moderate
Pettah Bus Stand,7,stationary,mobile phone,TRUE,Unknown
Majestic City,1,driving,mobile phone,TRUE,Unknown
Galle Face,16,walking,ID card,TRUE,High
Galle,0,walking,wallet,TRUE,Unknown
Jaffna,16,walking,ID card,FALSE,Unknown
Jaffna,2,stationary,sunglasses,TRUE,Unknown
Pettah Bus Stand,11,walking,wallet,FALSE,Unknown
Majestic City,10,driving,keys,FALSE,Unknown
Majestic City,8,driving,sunglasses,FALSE,High
Viharamahadevi Park,3,driving,sunglasses,TRUE,Unknown
Temple of the Tooth,8,walking,ID card,TRUE,Moderate
Fort Railway Station,12,driving,mobile phone,TRUE,Unknown
Kandy,14,driving,sunglasses,TRUE,Unknown
Fort Railway Station,16,driving,backpack,TRUE,Unknown
Liberty Plaza,3,stationary,water bottle,FALSE,Unknown
Kandy,21,stationary,backpack,FALSE,Low
Gangaramaya Temple,14,driving,sunglasses,TRUE,Moderate
Viharamahadevi Park,14,walking,ID card,FALSE,Moderate
Jaffna,2,walking,sunglasses,TRUE,Unknown
Kandy,7,driving,ID card,TRUE,Unknown
Pettah Bus Stand,6,stationary,wallet,TRUE,Unknown
Temple of the Tooth,16,stationary,sunglasses,TRUE,Moderate
Colombo,4,driving,sunglasses,FALSE,Unknown
Katunayake Airport,17,walking,sunglasses,FALSE,High
Fort Railway Station,16,walking,mobile phone,FALSE,Unknown
Temple of the Tooth,10,walking,sunglasses,TRUE,Moderate
Liberty Plaza,16,stationary,water bottle,TRUE,Moderate
Colombo,11,walking,sunglasses,TRUE,Unknown
Liberty Plaza,3,driving,mobile phone,FALSE,Unknown
Kandy,17,driving,ID card,FALSE,Unknown
Jaffna,20,driving,wallet,TRUE,Unknown
Gangaramaya Temple,11,stationary,water bottle,TRUE,Moderate
Galle,2,driving,sunglasses,FALSE,Unknown
Jaffna,4,walking,ID card,FALSE,Unknown
Kandy,3,driving,mobile phone,FALSE,Unknown
Liberty Plaza,2,driving,mobile phone,TRUE,Unknown
Kandy,11,stationary,sunglasses,FALSE,Unknown
Galle,19,stationary,water bottle,FALSE,Unknown
Kandy,0,stationary,sunglasses,FALSE,Unknown
Pettah Bus Stand,22,stationary,ID card,TRUE,Unknown
Temple of the Tooth,15,driving,ID card,TRUE,Moderate
Katunayake Airport,0,walking,water bottle,TRUE,High
Gangaramaya Temple,0,driving,backpack,TRUE,Moderate
Kandy,5,driving,keys,FALSE,Unknown
Liberty Plaza,16,stationary,keys,TRUE,Moderate
Majestic City,18,driving,sunglasses,FALSE,High
Colombo,16,walking,ID card,TRUE,Unknown
Majestic City,20,walking,mobile phone,FALSE,Unknown
Pettah Bus Stand,15,walking,backpack,FALSE,Unknown
Galle,22,stationary,water bottle,FALSE,Unknown
Fort Railway Station,0,stationary,sunglasses,FALSE,Unknown
Galle Face,8,driving,sunglasses,FALSE,Unknown
Gangaramaya Temple,6,stationary,keys,TRUE,Moderate
Colombo,16,stationary,keys,FALSE,Unknown
Temple of the Tooth,13,walking,sunglasses,FALSE,Unknown
Pettah Bus Stand,18,driving,backpack,TRUE,High
Colombo,16,stationary,sunglasses,FALSE,Unknown
Gangaramaya Temple,1,walking,backpack,TRUE,Moderate
Temple of the Tooth,1,walking,backpack,FALSE,Unknown
Katunayake Airport,13,driving,keys,TRUE,Unknown
Majestic City,13,driving,wallet,FALSE,Unknown
Colombo,13,walking,ID card,TRUE,Unknown
Majestic City,17,walking,water bottle,TRUE,Unknown
Pettah Bus Stand,4,walking,mobile phone,TRUE,Unknown
Katunayake Airport,5,walking,water bottle,TRUE,High
Viharamahadevi Park,12,walking,mobile phone,TRUE,Moderate
Majestic City,19,stationary,keys,FALSE,Unknown
Kandy,19,stationary,ID card,TRUE,Unknown
Katunayake Airport,15,walking,backpack,FALSE,High
Galle,20,walking,keys,FALSE,Unknown
Galle,2,driving,keys,FALSE,Unknown
Galle Face,8,walking,backpack,FALSE,High
Kandy,13,stationary,wallet,TRUE,Unknown
Galle Face,22,driving,mobile phone,FALSE,Unknown
Gangaramaya Temple,8,walking,ID card,TRUE,Moderate
Liberty Plaza,2,walking,ID card,TRUE,Unknown
Pettah Bus Stand,7,driving,mobile phone,TRUE,Unknown
Fort Railway Station,20,driving,backpack,TRUE,Unknown
Viharamahadevi Park,10,stationary,backpack,TRUE,Moderate
Temple of the Tooth,9,walking,keys,FALSE,Unknown
Galle,13,stationary,water bottle,TRUE,Unknown
Temple of the Tooth,17,driving,sunglasses,FALSE,Unknown
Liberty Plaza,19,stationary,ID card,TRUE,Moderate
Katunayake Airport,18,driving,ID card,FALSE,Unknown
Majestic City,7,driving,ID card,TRUE,Unknown
Colombo,1,walking,water bottle,FALSE,Unknown
Fort Railway Station,3,walking,ID card,FALSE,Unknown
Katunayake Airport,22,driving,keys,TRUE,Unknown
Majestic City,10,driving,backpack,FALSE,Unknown
Majestic City,6,walking,backpack,TRUE,Unknown
Colombo,1,driving,backpack,TRUE,Unknown
Galle,23,stationary,backpack,FALSE,Low
Pettah Bus Stand,17,walking,ID card,FALSE,Unknown
Jaffna,6,walking,backpack,TRUE,Unknown
Gangaramaya Temple,3,driving,sunglasses,FALSE,Unknown
Gangaramaya Temple,8,driving,keys,FALSE,Unknown
Fort Railway Station,14,walking,keys,FALSE,Unknown
Liberty Plaza,1,stationary,wallet,FALSE,Unknown
Majestic City,19,driving,water bottle,FALSE,Unknown
Kandy,13,walking,wallet,TRUE,Unknown
Liberty Plaza,14,stationary,sunglasses,TRUE,Moderate
Galle Face,3,walking,sunglasses,TRUE,High
Colombo,20,walking,mobile phone,TRUE,Unknown
Temple of the Tooth,16,walking,keys,TRUE,Moderate
Pettah Bus Stand,20,driving,keys,TRUE,Unknown
Fort Railway Station,15,walking,wallet,FALSE,Unknown
Pettah Bus Stand,22,stationary,sunglasses,TRUE,Unknown
Viharamahadevi Park,10,driving,sunglasses,TRUE,Moderate
Fort Railway Station,22,driving,wallet,TRUE,Unknown
Liberty Plaza,16,walking,wallet,FALSE,Moderate
Temple of the Tooth,20,driving,water bottle,TRUE,Moderate
Jaffna,2,driving,backpack,TRUE,Unknown
Liberty Plaza,21,walking,wallet,TRUE,Unknown
Jaffna,13,walking,wallet,TRUE,Unknown
Gangaramaya Temple,17,stationary,backpack,TRUE,Moderate
Galle Face,9,stationary,wallet,FALSE,Unknown
Viharamahadevi Park,5,stationary,keys,TRUE,Unknown
Colombo,2,walking,sunglasses,TRUE,Unknown
Fort Railway Station,17,walking,wallet,TRUE,Unknown
Jaffna,21,stationary,sunglasses,TRUE,Unknown
Gangaramaya Temple,15,driving,keys,TRUE,Moderate
Fort Railway Station,12,driving,mobile phone,FALSE,Unknown
Temple of the Tooth,13,stationary,backpack,FALSE,Low
Colombo,16,stationary,mobile phone,TRUE,Unknown
Gangaramaya Temple,20,walking,backpack,TRUE,Moderate
Colombo,11,driving,backpack,FALSE,Unknown
Liberty Plaza,3,walking,sunglasses,TRUE,Unknown
Jaffna,15,driving,backpack,FALSE,Unknown
Katunayake Airport,20,driving,sunglasses,FALSE,Unknown
Viharamahadevi Park,12,stationary,keys,TRUE,Moderate
Viharamahadevi Park,4,walking,mobile phone,TRUE,Unknown
Galle Face,20,walking,sunglasses,TRUE,High
Liberty Plaza,8,driving,backpack,FALSE,Moderate
Jaffna,20,driving,ID card,TRUE,Unknown
Temple of the Tooth,17,stationary,ID card,FALSE,Unknown
Pettah Bus Stand,15,driving,sunglasses,FALSE,Unknown
Gangaramaya Temple,8,stationary,backpack,TRUE,Moderate
Colombo,18,driving,keys,TRUE,Unknown
Galle,2,walking,backpack,FALSE,Unknown
Galle Face,1,walking,keys,TRUE,High
Kandy,22,stationary,water bottle,TRUE,Unknown
Temple of the Tooth,0,walking,wallet,FALSE,Unknown
Liberty Plaza,1,walking,mobile phone,FALSE,Unknown
Galle,9,walking,sunglasses,TRUE,Unknown
Majestic City,9,driving,wallet,FALSE,Unknown
Colombo,0,walking,ID card,TRUE,Unknown
Jaffna,23,walking,mobile phone,FALSE,Unknown
Pettah Bus Stand,7,walking,wallet,FALSE,Unknown
Fort Railway Station,12,walking,keys,FALSE,Unknown
Jaffna,19,walking,wallet,FALSE,Unknown
Gangaramaya Temple,16,walking,keys,FALSE,Unknown
Galle,8,stationary,mobile phone,FALSE,Unknown
Galle,19,stationary,wallet,TRUE,Unknown
Majestic City,0,stationary,wallet,FALSE,Unknown
Galle,1,stationary,sunglasses,TRUE,Unknown
Galle,23,stationary,ID card,FALSE,Unknown
Jaffna,23,driving,backpack,FALSE,Unknown
Jaffna,6,stationary,water bottle,FALSE,Unknown
Katunayake Airport,2,driving,backpack,FALSE,Unknown
Temple of the Tooth,12,stationary,backpack,FALSE,Low
Jaffna,12,walking,keys,FALSE,Unknown
Galle,18,walking,mobile phone,FALSE,Unknown
Pettah Bus Stand,15,walking,sunglasses,TRUE,Unknown
Colombo,17,driving,water bottle,FALSE,Unknown
Liberty Plaza,19,walking,backpack,FALSE,Moderate
Galle,11,driving,backpack,TRUE,Unknown
Pettah Bus Stand,7,driving,water bottle,FALSE,Unknown
Pettah Bus Stand,2,walking,wallet,TRUE,Unknown
